DrawDate,1,2,3,4,5,PB,PP*
Monday 9/29/2025,1,3,27,60,65,16,5
Monday 9/29/2025 - Double Play,2,9,12,18,65,26,
Saturday 9/27/2025,10,16,32,61,66,4,2
Saturday 9/27/2025 - Double Play,5,21,22,49,68,25,
Wednesday 9/24/2025,15,31,45,49,53,19,3
Wednesday 9/24/2025 - Double Play,10,21,23,30,56,25,
Monday 9/22/2025,3,29,42,46,59,15,3
Monday 9/22/2025 - Double Play,32,49,50,56,63,19,
Saturday 9/20/2025,15,29,64,66,67,4,2
Saturday 9/20/2025 - Double Play,2,22,34,57,66,25,
Wednesday 9/17/2025,7,30,50,54,62,20,2
Wednesday 9/17/2025 - Double Play,8,19,47,51,58,21,
Monday 9/15/2025,14,15,32,42,49,1,2
Monday 9/15/2025 - Double Play,7,19,42,53,56,4,
Saturday 9/13/2025,28,37,42,50,53,19,2
Saturday 9/13/2025 - Double Play,3,6,20,34,49,12,
Wednesday 9/10/2025,2,24,45,53,64,5,2
Wednesday 9/10/2025 - Double Play,2,12,27,31,60,10,
Monday 9/8/2025,26,28,41,53,64,9,3
Monday 9/8/2025 - Double Play,7,18,19,22,68,13,
Saturday 9/6/2025,11,23,44,61,62,17,2
Saturday 9/6/2025 - Double Play,21,29,34,41,65,17,
Wednesday 9/3/2025,3,16,29,61,69,22,2
Wednesday 9/3/2025 - Double Play,7,32,39,50,61,4,
Monday 9/1/2025,8,23,25,40,53,5,3
Monday 9/1/2025 - Double Play,1,15,26,48,67,19,
Saturday 8/30/2025,3,18,22,27,33,17,3
Saturday 8/30/2025 - Double Play,7,15,36,42,65,14,
Wednesday 8/27/2025,9,12,22,41,61,25,4
Wednesday 8/27/2025 - Double Play,12,19,26,51,62,18,
Monday 8/25/2025,16,19,34,37,64,22,3
Monday 8/25/2025 - Double Play,15,16,23,52,66,25,
Saturday 8/23/2025,11,14,34,47,51,18,2
Saturday 8/23/2025 - Double Play,9,23,24,33,44,19,
Wednesday 8/20/2025,31,59,62,65,68,5,2
Wednesday 8/20/2025 - Double Play,16,17,23,46,52,3,
Monday 8/18/2025,15,46,61,63,64,1,3
Monday 8/18/2025 - Double Play,6,28,38,48,55,23,
Saturday 8/16/2025,23,40,49,65,69,23,3
Saturday 8/16/2025 - Double Play,31,34,43,44,55,2,
Wednesday 8/13/2025,4,11,40,44,50,4,3
Wednesday 8/13/2025 - Double Play,29,33,41,50,54,23,
Monday 8/11/2025,6,16,33,40,62,2,2
Monday 8/11/2025 - Double Play,9,10,17,29,65,5,
Saturday 8/9/2025,7,14,23,24,60,14,2
Saturday 8/9/2025 - Double Play,5,22,26,29,40,6,
Wednesday 8/6/2025,15,27,43,45,53,9,2
Wednesday 8/6/2025 - Double Play,9,19,21,33,46,23,
Monday 8/4/2025,8,9,19,31,38,21,2
Monday 8/4/2025 - Double Play,7,18,41,42,62,3,
Saturday 8/2/2025,6,18,34,35,36,2,2
Saturday 8/2/2025 - Double Play,10,20,36,58,59,5,
Wednesday 7/30/2025,4,15,35,50,64,8,4
Wednesday 7/30/2025 - Double Play,13,32,65,66,68,7,
Monday 7/28/2025,7,35,36,43,62,3,3
Monday 7/28/2025 - Double Play,11,25,40,50,65,21,
Saturday 7/26/2025,8,31,57,65,67,23,3
Saturday 7/26/2025 - Double Play,11,16,21,29,41,1,
Wednesday 7/23/2025,2,18,19,25,35,25,3
Wednesday 7/23/2025 - Double Play,4,21,35,60,69,23,
Monday 7/21/2025,8,11,28,33,42,2,2
Monday 7/21/2025 - Double Play,2,41,56,59,66,6,
Saturday 7/19/2025,28,48,51,61,69,20,3
Saturday 7/19/2025 - Double Play,6,29,38,43,67,16,
Wednesday 7/16/2025,4,21,43,48,49,22,2
Wednesday 7/16/2025 - Double Play,8,23,42,56,68,10,
Monday 7/14/2025,8,12,45,46,63,24,2
Monday 7/14/2025 - Double Play,9,14,38,39,41,25,
Saturday 7/12/2025,8,16,24,33,54,18,2
Saturday 7/12/2025 - Double Play,5,8,35,62,63,8,
Wednesday 7/9/2025,5,9,25,28,69,5,2
Wednesday 7/9/2025 - Double Play,24,40,51,52,61,17,
Monday 7/7/2025,33,35,58,61,69,25,5
Monday 7/7/2025 - Double Play,14,17,49,52,68,7,
Saturday 7/5/2025,1,28,34,50,58,8,2
Saturday 7/5/2025 - Double Play,15,20,61,63,69,1,
Wednesday 7/2/2025,7,19,21,54,63,21,2
Wednesday 7/2/2025 - Double Play,10,18,21,37,40,10,
Monday 6/30/2025,13,28,44,52,55,6,4
Monday 6/30/2025 - Double Play,4,9,41,42,61,26,
Saturday 6/28/2025,4,35,43,52,62,12,2
Saturday 6/28/2025 - Double Play,8,15,22,34,62,22,
Wednesday 6/25/2025,2,12,37,51,61,22,3
Wednesday 6/25/2025 - Double Play,1,11,49,57,61,25,
Monday 6/23/2025,5,25,42,44,65,20,3
Monday 6/23/2025 - Double Play,4,7,12,20,55,12,
Saturday 6/21/2025,3,16,32,52,62,24,3
Saturday 6/21/2025 - Double Play,1,26,29,44,52,26,
Wednesday 6/18/2025,23,29,50,64,67,11,2
Wednesday 6/18/2025 - Double Play,13,15,17,36,66,10,
Monday 6/16/2025,17,21,23,27,52,19,5
Monday 6/16/2025 - Double Play,32,42,52,55,56,18,
Saturday 6/14/2025,4,6,9,23,59,25,3
Saturday 6/14/2025 - Double Play,19,20,39,47,55,15,
Wednesday 6/11/2025,13,25,29,37,53,3,2
Wednesday 6/11/2025 - Double Play,4,29,37,48,56,6,
Monday 6/9/2025,30,33,40,43,52,25,4
Monday 6/9/2025 - Double Play,1,7,24,50,59,11,
Saturday 6/7/2025,31,36,43,48,62,25,2
Saturday 6/7/2025 - Double Play,6,7,16,22,28,17,
Wednesday 6/4/2025,5,17,23,35,45,24,10
Wednesday 6/4/2025 - Double Play,13,33,35,36,56,2,
Monday 6/2/2025,1,7,44,57,61,21,3
Monday 6/2/2025 - Double Play,4,25,43,44,63,4,
Saturday 5/31/2025,1,29,37,56,68,13,2
Saturday 5/31/2025 - Double Play,34,44,61,64,68,19,
Wednesday 5/28/2025,23,27,32,35,59,11,2
Wednesday 5/28/2025 - Double Play,14,30,41,48,69,12,
Monday 5/26/2025,13,47,52,64,67,25,2
Monday 5/26/2025 - Double Play,7,13,27,29,67,8,
Saturday 5/24/2025,12,18,28,48,52,5,3
Saturday 5/24/2025 - Double Play,25,29,50,64,65,3,
Wednesday 5/21/2025,9,29,31,34,43,2,2
Wednesday 5/21/2025 - Double Play,4,9,21,37,56,2,
Monday 5/19/2025,13,14,37,50,60,11,2
Monday 5/19/2025 - Double Play,11,12,27,30,35,7,
Saturday 5/17/2025,7,34,40,42,52,15,2
Saturday 5/17/2025 - Double Play,14,18,31,34,37,17,
Wednesday 5/14/2025,4,10,24,29,53,4,3
Wednesday 5/14/2025 - Double Play,2,44,55,56,67,5,
Monday 5/12/2025,15,16,41,48,60,21,3
Monday 5/12/2025 - Double Play,23,45,53,54,57,18,
Saturday 5/10/2025,5,20,28,39,42,13,2
Saturday 5/10/2025 - Double Play,24,36,43,47,69,22,
Wednesday 5/7/2025,14,15,30,40,59,20,3
Wednesday 5/7/2025 - Double Play,9,31,32,50,57,14,
Monday 5/5/2025,16,34,40,45,66,19,2
Monday 5/5/2025 - Double Play,21,26,28,62,63,1,
Saturday 5/3/2025,10,21,23,35,65,24,2
Saturday 5/3/2025 - Double Play,14,23,33,38,60,3,
Wednesday 4/30/2025,1,2,3,57,59,9,2
Wednesday 4/30/2025 - Double Play,1,34,38,60,65,9,
Monday 4/28/2025,26,43,51,56,60,24,4
Monday 4/28/2025 - Double Play,11,13,39,48,61,3,
Saturday 4/26/2025,1,12,14,18,69,2,3
Saturday 4/26/2025 - Double Play,12,20,26,38,40,5,
Wednesday 4/23/2025,15,44,63,66,69,20,2
Wednesday 4/23/2025 - Double Play,37,42,49,54,66,26,
Monday 4/21/2025,4,33,45,46,51,25,3
Monday 4/21/2025 - Double Play,18,23,34,35,67,13,
Saturday 4/19/2025,7,25,37,39,63,1,3
Saturday 4/19/2025 - Double Play,2,3,21,55,63,12,
Wednesday 4/16/2025,20,24,42,43,49,19,3
Wednesday 4/16/2025 - Double Play,7,36,40,47,59,9,
Monday 4/14/2025,3,20,30,52,62,1,3
Monday 4/14/2025 - Double Play,9,18,41,42,63,4,
Saturday 4/12/2025,16,22,44,45,53,19,2
Saturday 4/12/2025 - Double Play,5,10,46,49,60,16,
Wednesday 4/9/2025,4,29,37,55,67,10,4
Wednesday 4/9/2025 - Double Play,2,15,44,60,68,23,
Monday 4/7/2025,20,23,48,59,66,4,2
Monday 4/7/2025 - Double Play,2,31,36,51,58,15,
Saturday 4/5/2025,4,23,30,46,62,2,4
Saturday 4/5/2025 - Double Play,10,16,20,48,51,5,
Wednesday 4/2/2025,5,17,41,64,69,1,2
Wednesday 4/2/2025 - Double Play,7,18,23,31,44,24,
Monday 3/31/2025,12,41,44,52,64,25,2
Monday 3/31/2025 - Double Play,2,44,52,65,66,12,
Saturday 3/29/2025,7,11,21,53,61,2,3
Saturday 3/29/2025 - Double Play,7,11,14,26,59,10,
Wednesday 3/26/2025,5,20,29,39,53,6,3
Wednesday 3/26/2025 - Double Play,26,32,41,51,66,22,
Monday 3/24/2025,6,23,35,36,47,12,2
Monday 3/24/2025 - Double Play,2,54,59,65,68,3,
Saturday 3/22/2025,6,7,25,46,57,12,3
Saturday 3/22/2025 - Double Play,2,4,47,53,64,11,
Wednesday 3/19/2025,8,11,21,49,59,15,2
Wednesday 3/19/2025 - Double Play,7,15,36,40,56,8,
Monday 3/17/2025,11,18,23,38,60,9,2
Monday 3/17/2025 - Double Play,4,19,21,38,64,26,
Saturday 3/15/2025,12,28,33,36,54,5,3
Saturday 3/15/2025 - Double Play,35,36,47,50,58,11,
Wednesday 3/12/2025,11,13,28,51,58,1,2
Wednesday 3/12/2025 - Double Play,30,31,45,56,69,25,
Monday 3/10/2025,17,40,47,50,55,6,2
Monday 3/10/2025 - Double Play,41,42,46,48,59,3,
Saturday 3/8/2025,2,4,16,23,63,13,3
Saturday 3/8/2025 - Double Play,21,24,37,62,68,11,
Wednesday 3/5/2025,24,28,40,63,65,20,3
Wednesday 3/5/2025 - Double Play,22,36,39,45,50,14,
Monday 3/3/2025,18,20,50,52,56,20,2
Monday 3/3/2025 - Double Play,9,34,54,67,69,11,
Saturday 3/1/2025,2,23,36,44,49,25,3
Saturday 3/1/2025 - Double Play,6,19,37,66,68,6,
Wednesday 2/26/2025,28,48,55,60,62,20,2
Wednesday 2/26/2025 - Double Play,21,26,45,46,64,11,
Monday 2/24/2025,10,11,34,59,68,14,3
Monday 2/24/2025 - Double Play,22,48,61,63,66,17,
Saturday 2/22/2025,7,18,22,50,65,15,2
Saturday 2/22/2025 - Double Play,9,18,26,35,57,14,
Wednesday 2/19/2025,6,21,28,49,60,20,2
Wednesday 2/19/2025 - Double Play,15,21,34,43,60,23,
Monday 2/17/2025,4,44,47,52,57,9,4
Monday 2/17/2025 - Double Play,17,18,49,56,59,8,
Saturday 2/15/2025,3,16,45,54,56,12,2
Saturday 2/15/2025 - Double Play,12,18,43,58,61,19,
Wednesday 2/12/2025,21,32,36,45,49,18,2
Wednesday 2/12/2025 - Double Play,11,24,26,31,39,15,
Monday 2/10/2025,2,17,18,29,43,3,3
Monday 2/10/2025 - Double Play,2,21,34,38,44,19,
Saturday 2/8/2025,23,44,57,60,62,9,2
Saturday 2/8/2025 - Double Play,5,20,23,36,53,17,
Wednesday 2/5/2025,19,27,30,50,62,14,3
Wednesday 2/5/2025 - Double Play,13,24,40,41,50,4,
Monday 2/3/2025,12,37,47,54,60,17,3
Monday 2/3/2025 - Double Play,7,38,39,42,55,10,
Saturday 2/1/2025,23,29,32,49,61,8,2
Saturday 2/1/2025 - Double Play,3,15,37,49,69,16,
Wednesday 1/29/2025,8,12,31,33,38,18,3
Wednesday 1/29/2025 - Double Play,18,28,41,63,68,4,
Monday 1/27/2025,2,40,47,53,55,20,2
Monday 1/27/2025 - Double Play,1,9,34,63,67,6,
Saturday 1/25/2025,8,15,17,53,66,14,3
Saturday 1/25/2025 - Double Play,2,5,52,59,60,16,
Wednesday 1/22/2025,5,6,27,40,49,5,2
Wednesday 1/22/2025 - Double Play,1,12,39,40,52,15,
Monday 1/20/2025,15,16,32,47,54,6,3
Monday 1/20/2025 - Double Play,10,23,33,38,54,17,
Saturday 1/18/2025,14,31,35,64,69,23,2
Saturday 1/18/2025 - Double Play,7,34,40,48,57,17,
Wednesday 1/15/2025,8,41,52,53,58,7,3
Wednesday 1/15/2025 - Double Play,11,15,25,51,54,15,
Monday 1/13/2025,4,6,16,39,66,9,2
Monday 1/13/2025 - Double Play,29,30,32,37,56,18,
Saturday 1/11/2025,3,6,32,37,65,4,3
Saturday 1/11/2025 - Double Play,22,24,25,44,53,20,
Wednesday 1/8/2025,1,20,36,38,43,24,2
Wednesday 1/8/2025 - Double Play,22,29,36,61,65,17,
Monday 1/6/2025,17,34,46,66,67,14,2
Monday 1/6/2025 - Double Play,41,44,54,57,64,13,
Saturday 1/4/2025,26,32,43,54,56,24,2
Saturday 1/4/2025 - Double Play,12,25,63,65,66,14,
Wednesday 1/1/2025,6,12,28,35,66,26,3
Wednesday 1/1/2025 - Double Play,8,10,25,33,66,20,
Monday 12/30/2024,9,19,33,38,39,1,3
Monday 12/30/2024 - Double Play,15,34,52,56,57,14,
Saturday 12/28/2024,6,31,51,54,55,12,2
Saturday 12/28/2024 - Double Play,22,40,42,54,68,7,
Wednesday 12/25/2024,15,26,27,30,35,3,3
Wednesday 12/25/2024 - Double Play,8,29,30,47,57,1,
Monday 12/23/2024,22,42,44,57,64,18,2
Monday 12/23/2024 - Double Play,16,49,62,63,68,10,
Saturday 12/21/2024,1,12,17,21,58,1,3
Saturday 12/21/2024 - Double Play,29,45,46,51,59,3,
Wednesday 12/18/2024,6,15,18,33,49,7,2
Wednesday 12/18/2024 - Double Play,41,45,52,56,67,6,
Monday 12/16/2024,9,30,33,57,61,17,2
Monday 12/16/2024 - Double Play,2,7,15,21,56,12,
Saturday 12/14/2024,12,17,23,52,67,1,2
Saturday 12/14/2024 - Double Play,12,16,36,55,64,3,
Wednesday 12/11/2024,13,44,50,52,54,20,2
Wednesday 12/11/2024 - Double Play,18,23,34,60,62,19,
Monday 12/9/2024,35,37,40,45,51,24,2
Monday 12/9/2024 - Double Play,7,17,28,44,54,8,
Saturday 12/7/2024,1,31,43,55,57,22,2
Saturday 12/7/2024 - Double Play,8,10,39,57,61,12,
Wednesday 12/4/2024,1,23,25,28,61,13,2
Wednesday 12/4/2024 - Double Play,14,35,43,48,54,1,
Monday 12/2/2024,3,9,26,61,67,13,2
Monday 12/2/2024 - Double Play,14,27,34,39,40,4,
Saturday 11/30/2024,4,24,29,39,63,25,4
Saturday 11/30/2024 - Double Play,9,21,37,43,61,23,
Wednesday 11/27/2024,1,6,7,13,40,5,5
Wednesday 11/27/2024 - Double Play,19,37,41,42,62,13,
Monday 11/25/2024,5,35,45,60,63,12,2
Monday 11/25/2024 - Double Play,2,13,25,27,39,10,
Saturday 11/23/2024,12,13,34,44,67,8,3
Saturday 11/23/2024 - Double Play,36,40,41,50,60,13,
Wednesday 11/20/2024,16,30,60,62,64,25,3
Wednesday 11/20/2024 - Double Play,3,10,37,40,68,1,
Monday 11/18/2024,27,31,41,52,69,26,3
Monday 11/18/2024 - Double Play,2,6,24,36,43,13,
Saturday 11/16/2024,21,22,25,32,38,16,5
Saturday 11/16/2024 - Double Play,16,23,31,59,63,10,
Wednesday 11/13/2024,9,20,26,43,58,9,2
Wednesday 11/13/2024 - Double Play,14,41,45,55,59,13,
Monday 11/11/2024,3,21,24,34,46,9,3
Monday 11/11/2024 - Double Play,16,23,38,40,57,10,
Saturday 11/9/2024,11,24,50,56,66,16,2
Saturday 11/9/2024 - Double Play,9,28,40,55,57,22,
Wednesday 11/6/2024,12,17,37,58,62,4,2
Wednesday 11/6/2024 - Double Play,12,16,17,39,45,10,
Monday 11/4/2024,6,18,33,48,53,21,10
Monday 11/4/2024 - Double Play,8,14,16,34,51,14,
Saturday 11/2/2024,10,45,48,58,61,2,3
Saturday 11/2/2024 - Double Play,4,20,37,48,58,24,
Wednesday 10/30/2024,13,22,29,43,58,22,3
Wednesday 10/30/2024 - Double Play,18,36,39,49,62,12,
Monday 10/28/2024,21,27,32,48,67,17,2
Monday 10/28/2024 - Double Play,6,16,19,24,40,5,
Saturday 10/26/2024,8,12,40,45,51,15,2
Saturday 10/26/2024 - Double Play,1,7,25,27,57,18,
Wednesday 10/23/2024,2,15,27,29,39,20,2
Wednesday 10/23/2024 - Double Play,1,42,43,58,66,20,
Monday 10/21/2024,1,25,57,62,64,15,2
Monday 10/21/2024 - Double Play,2,3,7,26,34,1,
Saturday 10/19/2024,7,16,19,45,64,25,3
Saturday 10/19/2024 - Double Play,19,39,53,57,68,16,
Wednesday 10/16/2024,4,30,39,44,60,11,2
Wednesday 10/16/2024 - Double Play,29,35,41,53,68,9,
Monday 10/14/2024,14,18,33,64,67,14,2
Monday 10/14/2024 - Double Play,7,29,31,41,54,8,
Saturday 10/12/2024,5,14,20,41,57,6,3
Saturday 10/12/2024 - Double Play,18,22,32,41,49,24,
Wednesday 10/9/2024,25,32,43,53,66,10,3
Wednesday 10/9/2024 - Double Play,4,14,29,33,59,17,
Monday 10/7/2024,18,30,31,52,63,22,2
Monday 10/7/2024 - Double Play,24,27,47,49,55,11,
Saturday 10/5/2024,2,12,46,52,65,3,2
Saturday 10/5/2024 - Double Play,15,16,27,30,57,24,
Wednesday 10/2/2024,1,2,21,37,43,21,3
Wednesday 10/2/2024 - Double Play,39,44,45,46,66,13,
Monday 9/30/2024,9,11,30,43,69,20,2
Monday 9/30/2024 - Double Play,17,32,39,43,53,2,
Saturday 9/28/2024,3,11,13,24,39,22,3
Saturday 9/28/2024 - Double Play,6,7,17,20,57,10,
Wednesday 9/25/2024,2,26,45,46,52,21,2
Wednesday 9/25/2024 - Double Play,6,32,51,62,69,26,
Monday 9/23/2024,15,21,25,37,45,19,3
Monday 9/23/2024 - Double Play,23,39,57,61,67,10,
Saturday 9/21/2024,17,19,21,37,45,14,2
Saturday 9/21/2024 - Double Play,4,17,37,46,49,19,
Wednesday 9/18/2024,1,11,22,47,68,7,4
Wednesday 9/18/2024 - Double Play,16,23,50,53,66,14,
Monday 9/16/2024,8,9,11,27,31,17,5
Monday 9/16/2024 - Double Play,13,25,38,40,63,23,
Saturday 9/14/2024,29,34,38,48,56,16,2
Saturday 9/14/2024 - Double Play,1,26,38,52,55,16,
Wednesday 9/11/2024,10,12,55,65,67,3,3
Wednesday 9/11/2024 - Double Play,6,9,15,17,20,3,
Monday 9/9/2024,1,16,21,47,60,5,3
Monday 9/9/2024 - Double Play,10,14,38,42,45,26,
Saturday 9/7/2024,14,34,37,55,63,20,2
Saturday 9/7/2024 - Double Play,14,16,20,30,47,22,
Wednesday 9/4/2024,7,10,21,33,59,20,3
Wednesday 9/4/2024 - Double Play,4,21,34,35,41,9,
Monday 9/2/2024,8,42,46,48,53,22,3
Monday 9/2/2024 - Double Play,4,12,13,16,67,7,
Saturday 8/31/2024,4,34,35,38,69,19,2
Saturday 8/31/2024 - Double Play,19,32,43,55,58,12,
Wednesday 8/28/2024,5,33,47,50,64,20,2
Wednesday 8/28/2024 - Double Play,9,11,31,52,54,25,
Monday 8/26/2024,2,4,23,68,69,15,3
Monday 8/26/2024 - Double Play,19,50,55,58,66,15,
Saturday 8/24/2024,5,15,21,24,43,17,3
Saturday 8/24/2024 - Double Play,1,26,32,64,65,16,
Wednesday 8/21/2024,27,31,33,38,67,3,2
Wednesday 8/21/2024 - Double Play,2,3,28,52,69,3,
Monday 8/19/2024,1,2,15,23,28,10,2
Monday 8/19/2024 - Double Play,22,48,50,57,69,1,
Saturday 8/17/2024,12,31,43,45,46,22,5
Saturday 8/17/2024 - Double Play,9,12,25,51,56,22,
Wednesday 8/14/2024,8,9,23,29,62,13,2
Wednesday 8/14/2024 - Double Play,16,27,34,62,66,22,
Monday 8/12/2024,9,22,57,67,68,14,3
Monday 8/12/2024 - Double Play,5,35,49,60,62,17,
Saturday 8/10/2024,9,24,33,64,69,9,2
Saturday 8/10/2024 - Double Play,6,14,53,59,62,12,
Wednesday 8/7/2024,6,19,35,47,57,9,3
Wednesday 8/7/2024 - Double Play,16,29,31,60,65,26,
Monday 8/5/2024,29,42,44,51,54,12,2
Monday 8/5/2024 - Double Play,2,18,31,45,60,8,
Saturday 8/3/2024,13,33,40,60,61,20,3
Saturday 8/3/2024 - Double Play,13,18,29,43,56,8,
Wednesday 7/31/2024,23,34,37,50,58,7,2
Wednesday 7/31/2024 - Double Play,10,24,41,48,61,9,
Monday 7/29/2024,11,27,30,33,44,16,3
Monday 7/29/2024 - Double Play,20,21,36,54,63,21,
Saturday 7/27/2024,3,31,37,40,64,17,3
Saturday 7/27/2024 - Double Play,19,45,57,64,69,7,
Wednesday 7/24/2024,16,42,59,63,68,13,2
Wednesday 7/24/2024 - Double Play,4,9,20,47,51,9,
Monday 7/22/2024,31,36,56,58,69,20,2
Monday 7/22/2024 - Double Play,17,34,44,49,66,9,
Saturday 7/20/2024,18,25,31,40,57,4,3
Saturday 7/20/2024 - Double Play,10,14,31,34,67,20,
Wednesday 7/17/2024,24,27,32,47,66,26,2
Wednesday 7/17/2024 - Double Play,3,24,49,56,60,17,
Monday 7/15/2024,9,31,39,40,45,23,3
Monday 7/15/2024 - Double Play,3,13,41,55,61,6,
Saturday 7/13/2024,9,55,59,66,69,21,2
Saturday 7/13/2024 - Double Play,40,57,59,64,65,15,
Wednesday 7/10/2024,7,11,12,27,46,26,3
Wednesday 7/10/2024 - Double Play,16,17,33,56,66,18,
Monday 7/8/2024,20,22,31,33,45,1,3
Monday 7/8/2024 - Double Play,10,17,19,25,59,8,
Saturday 7/6/2024,5,32,35,39,49,21,2
Saturday 7/6/2024 - Double Play,22,27,52,62,69,4,
Wednesday 7/3/2024,2,26,33,55,57,22,2
Wednesday 7/3/2024 - Double Play,19,22,38,55,61,23,
Monday 7/1/2024,5,9,32,39,55,9,2
Monday 7/1/2024 - Double Play,12,18,32,59,61,8,
Saturday 6/29/2024,26,51,54,61,69,25,3
Saturday 6/29/2024 - Double Play,6,28,49,53,69,8,
Wednesday 6/26/2024,4,9,36,47,56,7,5
Wednesday 6/26/2024 - Double Play,4,19,27,37,56,21,
Monday 6/24/2024,5,6,36,53,69,8,2
Monday 6/24/2024 - Double Play,1,31,33,54,60,26,
Saturday 6/22/2024,4,5,15,32,62,21,2
Saturday 6/22/2024 - Double Play,6,23,48,49,54,14,
Wednesday 6/19/2024,4,27,44,50,64,7,3
Wednesday 6/19/2024 - Double Play,16,23,35,50,59,21,
Monday 6/17/2024,30,48,53,58,66,9,2
Monday 6/17/2024 - Double Play,30,41,42,67,68,16,
Saturday 6/15/2024,4,36,48,54,56,2,3
Saturday 6/15/2024 - Double Play,30,38,44,54,55,22,
Wednesday 6/12/2024,19,30,31,61,62,21,2
Wednesday 6/12/2024 - Double Play,12,13,59,68,69,13,
Monday 6/10/2024,3,10,33,58,59,9,2
Monday 6/10/2024 - Double Play,9,15,27,32,65,10,
Saturday 6/8/2024,8,38,52,54,64,15,3
Saturday 6/8/2024 - Double Play,11,21,57,58,68,5,
Wednesday 6/5/2024,8,44,45,51,69,12,3
Wednesday 6/5/2024 - Double Play,4,11,20,45,49,21,
Monday 6/3/2024,19,29,35,36,45,16,2
Monday 6/3/2024 - Double Play,25,39,46,47,51,10,
Saturday 6/1/2024,28,38,52,54,68,8,2
Saturday 6/1/2024 - Double Play,24,40,53,56,59,5,
Wednesday 5/29/2024,17,34,56,60,61,9,2
Wednesday 5/29/2024 - Double Play,23,29,35,36,39,22,
Monday 5/27/2024,9,30,39,49,59,21,5
Monday 5/27/2024 - Double Play,20,31,39,45,56,19,
Saturday 5/25/2024,6,33,35,36,64,24,3
Saturday 5/25/2024 - Double Play,23,25,39,40,47,10,
Wednesday 5/22/2024,5,16,18,26,67,4,3
Wednesday 5/22/2024 - Double Play,10,12,19,21,67,25,
Monday 5/20/2024,1,7,48,64,68,5,2
Monday 5/20/2024 - Double Play,5,38,39,41,69,25,
Saturday 5/18/2024,19,36,37,42,59,19,2
