DrawDate,1,2,3,4,5,PB,PP*
Monday 1/2/2023,7,9,12,31,62,22,2
Monday 1/2/2023 - Double Play,11,12,15,33,39,24,
Saturday 12/31/2022,18,37,44,50,64,11,3
Saturday 12/31/2022 - Double Play,1,25,29,54,56,9,
Wednesday 12/28/2022,26,32,38,45,56,1,2
Wednesday 12/28/2022 - Double Play,4,10,14,41,56,16,
Monday 12/26/2022,17,41,47,60,61,17,3
Monday 12/26/2022 - Double Play,1,30,52,54,63,26,
Saturday 12/24/2022,17,37,46,54,67,8,3
Saturday 12/24/2022 - Double Play,5,32,34,38,48,12,
Wednesday 12/21/2022,12,15,24,34,59,14,2
Wednesday 12/21/2022 - Double Play,10,16,25,39,52,23,
Monday 12/19/2022,7,37,55,65,67,12,5
Monday 12/19/2022 - Double Play,18,32,40,65,67,6,
Saturday 12/17/2022,33,56,64,66,68,12,2
Saturday 12/17/2022 - Double Play,6,9,10,19,28,23,
Wednesday 12/14/2022,36,51,59,66,68,25,10
Wednesday 12/14/2022 - Double Play,3,12,24,40,57,19,
Monday 12/12/2022,16,31,50,55,61,9,4
Monday 12/12/2022 - Double Play,28,39,43,63,67,26,
Saturday 12/10/2022,9,23,47,49,68,19,2
Saturday 12/10/2022 - Double Play,1,34,37,40,53,2,
Wednesday 12/7/2022,6,28,44,59,61,21,2
Wednesday 12/7/2022 - Double Play,16,25,26,37,48,16,
Monday 12/5/2022,35,45,47,54,55,14,2
Monday 12/5/2022 - Double Play,15,50,51,53,68,21,
Saturday 12/3/2022,6,13,33,36,37,7,4
Saturday 12/3/2022 - Double Play,4,10,23,43,64,3,
Wednesday 11/30/2022,4,19,24,47,66,10,2
Wednesday 11/30/2022 - Double Play,16,34,41,47,55,23,
Monday 11/28/2022,29,30,32,48,50,20,2
Monday 11/28/2022 - Double Play,1,5,19,47,55,3,
Saturday 11/26/2022,15,30,47,50,51,3,10
Saturday 11/26/2022 - Double Play,1,35,39,41,54,17,
Wednesday 11/23/2022,1,2,31,39,66,25,2
Wednesday 11/23/2022 - Double Play,17,20,54,60,69,22,
Monday 11/21/2022,1,6,40,51,67,2,2
Monday 11/21/2022 - Double Play,8,23,41,49,63,15,
Saturday 11/19/2022,7,28,62,63,64,10,3
Saturday 11/19/2022 - Double Play,19,35,40,62,68,23,
Wednesday 11/16/2022,28,34,51,53,56,11,2
Wednesday 11/16/2022 - Double Play,5,26,41,59,66,11,
Monday 11/14/2022,19,35,53,54,67,21,2
Monday 11/14/2022 - Double Play,1,24,32,63,69,13,
Saturday 11/12/2022,16,20,44,57,58,6,4
Saturday 11/12/2022 - Double Play,8,18,29,44,68,3,
Wednesday 11/9/2022,7,14,24,30,56,7,2
Wednesday 11/9/2022 - Double Play,4,15,31,52,62,16,
Monday 11/7/2022,10,33,41,47,56,10,2
Monday 11/7/2022 - Double Play,1,21,27,29,40,18,
Saturday 11/5/2022,28,45,53,56,69,20,3
Saturday 11/5/2022 - Double Play,4,23,27,31,56,15,
Wednesday 11/2/2022,2,11,22,35,60,23,2
Wednesday 11/2/2022 - Double Play,20,34,37,57,67,26,
Monday 10/31/2022,13,19,36,39,59,13,3
Monday 10/31/2022 - Double Play,9,14,52,57,62,24,
Saturday 10/29/2022,19,31,40,46,57,23,3
Saturday 10/29/2022 - Double Play,9,13,31,35,37,1,
Wednesday 10/26/2022,19,36,37,46,56,24,2
Wednesday 10/26/2022 - Double Play,5,36,38,39,54,19,
Monday 10/24/2022,18,23,35,45,54,16,4
Monday 10/24/2022 - Double Play,12,48,51,63,67,26,
Saturday 10/22/2022,19,25,48,55,60,18,2
Saturday 10/22/2022 - Double Play,9,21,30,49,51,3,
Wednesday 10/19/2022,6,8,15,27,42,10,3
Wednesday 10/19/2022 - Double Play,4,24,32,55,59,13,
Monday 10/17/2022,19,30,36,46,60,25,3
Monday 10/17/2022 - Double Play,29,35,36,40,52,18,
Saturday 10/15/2022,32,37,40,58,62,15,5
Saturday 10/15/2022 - Double Play,6,19,32,48,50,1,
Wednesday 10/12/2022,14,30,41,42,59,6,5
Wednesday 10/12/2022 - Double Play,4,22,36,39,64,14,
Monday 10/10/2022,3,6,11,17,22,11,2
Monday 10/10/2022 - Double Play,4,24,35,52,62,10,
Saturday 10/8/2022,13,43,53,60,68,5,2
Saturday 10/8/2022 - Double Play,3,33,46,63,68,17,
Wednesday 10/5/2022,26,30,33,37,62,6,2
Wednesday 10/5/2022 - Double Play,17,23,24,36,61,16,
Monday 10/3/2022,2,16,22,55,63,22,4
Monday 10/3/2022 - Double Play,4,5,50,66,67,15,
Saturday 10/1/2022,8,21,22,65,69,26,2
Saturday 10/1/2022 - Double Play,1,24,43,53,63,18,
Wednesday 9/28/2022,6,10,24,33,67,11,3
Wednesday 9/28/2022 - Double Play,14,24,34,56,60,8,
Monday 9/26/2022,13,20,31,33,59,20,3
Monday 9/26/2022 - Double Play,7,15,39,54,59,11,
Saturday 9/24/2022,3,9,21,24,29,14,2
Saturday 9/24/2022 - Double Play,15,30,38,46,66,25,
Wednesday 9/21/2022,6,33,34,45,54,7,2
Wednesday 9/21/2022 - Double Play,18,28,39,47,49,16,
Monday 9/19/2022,7,15,36,46,67,7,2
Monday 9/19/2022 - Double Play,7,11,23,27,38,4,
Saturday 9/17/2022,5,25,36,51,61,1,3
Saturday 9/17/2022 - Double Play,9,23,37,41,55,1,
Wednesday 9/14/2022,9,10,20,22,52,25,3
Wednesday 9/14/2022 - Double Play,15,16,17,23,29,5,
Monday 9/12/2022,6,14,16,34,66,25,3
Monday 9/12/2022 - Double Play,1,16,19,48,60,11,
Saturday 9/10/2022,38,42,56,68,69,4,2
Saturday 9/10/2022 - Double Play,25,30,34,55,56,26,
Wednesday 9/7/2022,3,16,30,33,36,20,3
Wednesday 9/7/2022 - Double Play,4,26,28,29,42,10,
Monday 9/5/2022,4,7,32,55,64,25,2
Monday 9/5/2022 - Double Play,10,31,48,50,68,7,
Saturday 9/3/2022,18,27,49,65,69,9,2
Saturday 9/3/2022 - Double Play,4,9,15,33,46,21,
Wednesday 8/31/2022,7,8,19,24,28,1,2
Wednesday 8/31/2022 - Double Play,7,15,21,41,56,16,
Monday 8/29/2022,13,36,43,61,69,18,3
Monday 8/29/2022 - Double Play,25,27,51,52,58,1,
Saturday 8/27/2022,2,18,56,60,65,14,3
Saturday 8/27/2022 - Double Play,16,18,43,49,51,6,
Wednesday 8/24/2022,6,24,35,37,44,22,4
Wednesday 8/24/2022 - Double Play,14,30,38,52,62,24,
Monday 8/22/2022,12,27,34,55,67,9,2
Monday 8/22/2022 - Double Play,42,50,59,61,64,21,
Saturday 8/20/2022,5,9,11,16,66,7,2
Saturday 8/20/2022 - Double Play,14,19,36,39,65,25,
Wednesday 8/17/2022,23,28,41,50,55,24,2
Wednesday 8/17/2022 - Double Play,15,16,36,53,61,14,
Monday 8/15/2022,20,24,47,50,63,5,2
Monday 8/15/2022 - Double Play,16,37,53,56,63,22,
Saturday 8/13/2022,19,24,35,43,62,2,10
Saturday 8/13/2022 - Double Play,10,29,37,43,65,19,
Wednesday 8/10/2022,29,44,59,61,68,19,2
Wednesday 8/10/2022 - Double Play,11,24,30,53,69,7,
Monday 8/8/2022,32,45,51,57,58,12,2
Monday 8/8/2022 - Double Play,11,42,46,48,57,9,
Saturday 8/6/2022,8,15,46,56,68,3,2
Saturday 8/6/2022 - Double Play,9,19,30,40,48,16,
Wednesday 8/3/2022,9,21,56,57,66,11,2
Wednesday 8/3/2022 - Double Play,24,28,29,31,48,12,
Monday 8/1/2022,15,21,31,36,65,16,3
Monday 8/1/2022 - Double Play,11,26,27,55,57,2,
Saturday 7/30/2022,4,17,57,58,68,12,3
Saturday 7/30/2022 - Double Play,16,19,23,32,40,15,
Wednesday 7/27/2022,1,25,44,55,57,26,2
Wednesday 7/27/2022 - Double Play,2,10,11,63,68,1,
Monday 7/25/2022,25,37,38,39,65,5,2
Monday 7/25/2022 - Double Play,34,41,43,66,68,8,
Saturday 7/23/2022,39,41,54,59,62,12,3
Saturday 7/23/2022 - Double Play,20,29,34,50,63,20,
Wednesday 7/20/2022,10,20,23,49,65,22,3
Wednesday 7/20/2022 - Double Play,4,14,26,30,52,18,
Monday 7/18/2022,14,34,36,50,58,5,3
Monday 7/18/2022 - Double Play,9,29,39,43,56,19,
Saturday 7/16/2022,3,18,23,32,57,21,2
Saturday 7/16/2022 - Double Play,2,19,32,36,56,5,
Wednesday 7/13/2022,22,23,36,47,63,2,2
Wednesday 7/13/2022 - Double Play,14,17,21,32,37,8,
Monday 7/11/2022,4,26,34,37,52,9,2
Monday 7/11/2022 - Double Play,16,25,38,62,67,5,
Saturday 7/9/2022,14,22,42,46,52,24,3
Saturday 7/9/2022 - Double Play,14,23,24,57,65,18,
Wednesday 7/6/2022,32,36,49,62,69,13,2
Wednesday 7/6/2022 - Double Play,2,5,20,26,31,13,
Monday 7/4/2022,15,16,24,31,56,4,2
Monday 7/4/2022 - Double Play,9,41,55,57,60,5,
Saturday 7/2/2022,9,10,37,59,62,26,3
Saturday 7/2/2022 - Double Play,4,7,22,57,59,24,
Wednesday 6/29/2022,8,40,49,58,63,14,3
Wednesday 6/29/2022 - Double Play,11,26,28,34,60,5,
Monday 6/27/2022,11,13,18,30,37,16,3
Monday 6/27/2022 - Double Play,34,47,53,57,68,2,
Saturday 6/25/2022,6,12,20,27,32,4,3
Saturday 6/25/2022 - Double Play,16,46,58,63,69,18,
Wednesday 6/22/2022,6,10,31,48,56,12,3
Wednesday 6/22/2022 - Double Play,7,31,39,51,53,21,
Monday 6/20/2022,3,44,61,63,69,13,2
Monday 6/20/2022 - Double Play,4,26,27,43,56,18,
Saturday 6/18/2022,10,19,40,45,58,25,2
Saturday 6/18/2022 - Double Play,7,18,23,30,53,3,
Wednesday 6/15/2022,19,28,41,42,51,7,2
Wednesday 6/15/2022 - Double Play,3,44,47,48,67,11,
Monday 6/13/2022,2,27,42,44,51,25,2
Monday 6/13/2022 - Double Play,8,20,35,48,67,15,
Saturday 6/11/2022,18,20,26,53,69,5,2
Saturday 6/11/2022 - Double Play,1,32,46,56,65,23,
Wednesday 6/8/2022,22,39,43,62,64,7,4
Wednesday 6/8/2022 - Double Play,23,49,51,58,65,12,
Monday 6/6/2022,2,10,35,44,46,4,2
Monday 6/6/2022 - Double Play,1,10,36,53,61,21,
Saturday 6/4/2022,14,16,36,52,60,16,3
Saturday 6/4/2022 - Double Play,11,39,41,55,61,10,
Wednesday 6/1/2022,11,41,56,57,63,2,2
Wednesday 6/1/2022 - Double Play,9,20,22,39,47,10,
Monday 5/30/2022,27,28,51,68,69,22,2
Monday 5/30/2022 - Double Play,11,13,22,44,51,15,
Saturday 5/28/2022,2,39,50,61,66,15,2
Saturday 5/28/2022 - Double Play,11,34,52,61,69,24,
Wednesday 5/25/2022,19,28,39,42,57,17,3
Wednesday 5/25/2022 - Double Play,3,16,20,33,45,11,
Monday 5/23/2022,1,33,37,39,42,26,2
Monday 5/23/2022 - Double Play,33,45,60,62,65,2,
Saturday 5/21/2022,14,15,25,52,58,11,2
Saturday 5/21/2022 - Double Play,16,20,35,54,69,15,
Wednesday 5/18/2022,40,41,58,64,65,17,3
Wednesday 5/18/2022 - Double Play,9,27,41,59,64,21,
Monday 5/16/2022,7,15,22,36,64,13,2
Monday 5/16/2022 - Double Play,7,12,34,35,67,26,
Saturday 5/14/2022,6,40,41,45,52,9,3
Saturday 5/14/2022 - Double Play,23,36,41,42,65,14,
Wednesday 5/11/2022,5,7,61,63,69,18,2
Wednesday 5/11/2022 - Double Play,2,24,34,42,54,11,
Monday 5/9/2022,18,30,35,52,56,5,2
Monday 5/9/2022 - Double Play,3,42,45,57,67,2,
Saturday 5/7/2022,4,5,6,28,67,10,2
Saturday 5/7/2022 - Double Play,14,22,38,56,60,17,
Wednesday 5/4/2022,37,39,55,63,69,23,2
Wednesday 5/4/2022 - Double Play,6,31,39,44,46,26,
Monday 5/2/2022,18,27,33,39,44,8,5
Monday 5/2/2022 - Double Play,6,23,29,37,65,12,
Saturday 4/30/2022,14,21,37,44,63,1,3
Saturday 4/30/2022 - Double Play,11,30,48,56,69,20,
Wednesday 4/27/2022,11,36,61,62,68,4,2
Wednesday 4/27/2022 - Double Play,1,12,35,38,50,10,
Monday 4/25/2022,12,18,20,39,61,10,2
Monday 4/25/2022 - Double Play,14,23,29,38,43,20,
Saturday 4/23/2022,10,39,47,49,56,8,3
Saturday 4/23/2022 - Double Play,2,30,39,54,63,17,
Wednesday 4/20/2022,20,30,45,55,56,14,2
Wednesday 4/20/2022 - Double Play,4,15,16,21,52,20,
Monday 4/18/2022,8,33,55,59,62,18,2
Monday 4/18/2022 - Double Play,12,17,29,65,66,7,
Saturday 4/16/2022,15,21,32,62,65,26,5
Saturday 4/16/2022 - Double Play,33,40,47,55,64,5,
Wednesday 4/13/2022,14,16,41,63,68,26,2
Wednesday 4/13/2022 - Double Play,17,51,54,55,58,19,
Monday 4/11/2022,5,7,24,31,34,4,2
Monday 4/11/2022 - Double Play,18,20,24,29,47,12,
Saturday 4/9/2022,6,16,31,62,66,18,2
Saturday 4/9/2022 - Double Play,3,5,35,48,67,5,
Wednesday 4/6/2022,6,42,45,47,64,18,3
Wednesday 4/6/2022 - Double Play,4,29,56,57,58,2,
Monday 4/4/2022,2,32,39,46,69,6,2
Monday 4/4/2022 - Double Play,6,49,55,58,59,15,
Saturday 4/2/2022,6,28,47,58,59,18,2
Saturday 4/2/2022 - Double Play,6,7,41,57,61,14,
Wednesday 3/30/2022,3,7,21,31,37,11,3
Wednesday 3/30/2022 - Double Play,1,24,44,48,52,22,
Monday 3/28/2022,11,18,39,58,62,3,2
Monday 3/28/2022 - Double Play,23,32,36,51,59,9,
Saturday 3/26/2022,2,10,50,59,61,6,3
Saturday 3/26/2022 - Double Play,18,39,40,55,60,25,
Wednesday 3/23/2022,31,32,37,38,48,24,2
Wednesday 3/23/2022 - Double Play,15,18,24,26,62,1,
Monday 3/21/2022,1,15,26,63,65,16,2
Monday 3/21/2022 - Double Play,14,17,25,51,57,24,
Saturday 3/19/2022,8,9,18,48,52,6,2
Saturday 3/19/2022 - Double Play,27,31,53,57,68,3,
Wednesday 3/16/2022,3,28,34,35,58,17,2
Wednesday 3/16/2022 - Double Play,15,22,48,50,67,16,
Monday 3/14/2022,21,28,32,44,49,6,3
Monday 3/14/2022 - Double Play,7,8,11,19,40,6,
Saturday 3/12/2022,19,20,37,39,61,8,2
Saturday 3/12/2022 - Double Play,4,16,40,49,50,15,
Wednesday 3/9/2022,13,22,34,51,67,10,2
Wednesday 3/9/2022 - Double Play,8,9,43,45,63,4,
Monday 3/7/2022,10,43,55,59,67,2,3
Monday 3/7/2022 - Double Play,17,24,26,41,43,26,
Saturday 3/5/2022,8,23,37,52,63,13,2
Saturday 3/5/2022 - Double Play,2,25,32,33,50,12,
Wednesday 3/2/2022,19,37,48,61,63,12,2
Wednesday 3/2/2022 - Double Play,1,7,10,32,56,13,
Monday 2/28/2022,7,21,39,47,55,19,2
Monday 2/28/2022 - Double Play,11,16,28,44,51,16,
Saturday 2/26/2022,15,32,36,48,64,19,3
Saturday 2/26/2022 - Double Play,22,25,58,62,64,18,
Wednesday 2/23/2022,6,17,21,35,64,18,2
Wednesday 2/23/2022 - Double Play,7,11,19,34,59,14,
Monday 2/21/2022,2,36,37,45,69,3,2
Monday 2/21/2022 - Double Play,22,23,29,39,43,18,
Saturday 2/19/2022,3,10,15,33,42,11,2
Saturday 2/19/2022 - Double Play,21,22,30,41,67,3,
Wednesday 2/16/2022,22,30,40,42,48,16,2
Wednesday 2/16/2022 - Double Play,18,25,28,30,38,10,
Monday 2/14/2022,16,25,27,49,55,17,3
Monday 2/14/2022 - Double Play,1,5,35,37,49,11,
Saturday 2/12/2022,8,10,21,41,62,7,3
Saturday 2/12/2022 - Double Play,4,6,15,53,61,23,
Wednesday 2/9/2022,2,17,33,51,63,26,2
Wednesday 2/9/2022 - Double Play,21,36,42,47,68,3,
Monday 2/7/2022,5,15,38,47,65,10,3
Monday 2/7/2022 - Double Play,9,20,27,47,55,14,
Saturday 2/5/2022,5,16,27,39,61,24,2
Saturday 2/5/2022 - Double Play,13,17,24,44,52,17,
Wednesday 2/2/2022,18,29,33,62,63,15,3
Wednesday 2/2/2022 - Double Play,12,39,55,66,67,16,
Monday 1/31/2022,10,15,51,61,69,14,3
Monday 1/31/2022 - Double Play,28,31,33,38,61,5,
Saturday 1/29/2022,2,15,38,54,65,11,4
Saturday 1/29/2022 - Double Play,18,35,39,53,69,5,
Wednesday 1/26/2022,4,11,38,49,69,16,3
Wednesday 1/26/2022 - Double Play,10,27,40,43,45,25,
Monday 1/24/2022,11,29,30,47,53,16,3
Monday 1/24/2022 - Double Play,1,20,22,23,33,18,
Saturday 1/22/2022,8,14,33,36,67,17,2
Saturday 1/22/2022 - Double Play,2,10,30,45,47,21,
Wednesday 1/19/2022,11,15,43,55,61,10,3
Wednesday 1/19/2022 - Double Play,24,25,35,59,63,11,
Monday 1/17/2022,9,24,35,46,65,22,2
Monday 1/17/2022 - Double Play,7,19,33,38,64,22,
Saturday 1/15/2022,3,18,37,51,59,13,2
Saturday 1/15/2022 - Double Play,7,16,24,53,62,24,
Wednesday 1/12/2022,12,21,22,30,33,24,4
Wednesday 1/12/2022 - Double Play,14,25,50,53,66,2,
Monday 1/10/2022,14,17,18,21,27,9,2
Monday 1/10/2022 - Double Play,11,28,47,59,68,23,
Saturday 1/8/2022,20,21,36,60,65,13,10
Saturday 1/8/2022 - Double Play,31,48,50,54,66,20,
Wednesday 1/5/2022,6,14,25,33,46,17,2
Wednesday 1/5/2022 - Double Play,23,41,56,62,65,4,
Monday 1/3/2022,2,13,32,33,48,22,2
Monday 1/3/2022 - Double Play,4,19,26,64,65,16,
Saturday 1/1/2022,6,12,39,48,50,7,2
Saturday 1/1/2022 - Double Play,4,6,7,10,30,9,
Wednesday 12/29/2021,2,6,9,33,39,11,2
Wednesday 12/29/2021 - Double Play,43,51,53,63,68,5,
Monday 12/27/2021,36,38,45,62,64,19,2
Monday 12/27/2021 - Double Play,6,11,23,24,40,9,
Saturday 12/25/2021,27,29,45,55,58,2,3
Saturday 12/25/2021 - Double Play,1,15,28,48,51,26,
Wednesday 12/22/2021,7,16,19,48,68,15,2
Wednesday 12/22/2021 - Double Play,4,25,49,59,61,11,
Monday 12/20/2021,2,13,23,34,66,2,4
Monday 12/20/2021 - Double Play,8,26,36,37,47,19,
Saturday 12/18/2021,2,6,24,51,61,1,2
Saturday 12/18/2021 - Double Play,9,16,37,57,66,11,
Wednesday 12/15/2021,19,20,40,42,59,15,3
Wednesday 12/15/2021 - Double Play,11,21,22,50,58,2,
Monday 12/13/2021,10,30,37,53,59,4,2
Monday 12/13/2021 - Double Play,18,25,28,41,53,13,
Saturday 12/11/2021,3,25,44,53,64,10,2
Saturday 12/11/2021 - Double Play,10,20,28,46,62,25,
Wednesday 12/8/2021,3,7,33,50,69,24,2
Wednesday 12/8/2021 - Double Play,2,9,51,63,68,15,
Monday 12/6/2021,3,21,38,50,59,6,3
Monday 12/6/2021 - Double Play,8,15,27,55,66,17,
Saturday 12/4/2021,10,40,45,56,67,2,2
Saturday 12/4/2021 - Double Play,6,19,36,46,59,8,
Wednesday 12/1/2021,12,15,38,57,63,24,2
Wednesday 12/1/2021 - Double Play,2,25,34,58,59,26,
Monday 11/29/2021,18,26,28,38,47,17,2
Monday 11/29/2021 - Double Play,1,31,59,67,68,14,
Saturday 11/27/2021,8,32,55,64,66,10,2
Saturday 11/27/2021 - Double Play,7,11,19,31,58,14,
Wednesday 11/24/2021,10,16,32,63,65,17,2
Wednesday 11/24/2021 - Double Play,1,18,23,25,61,17,
Monday 11/22/2021,7,20,29,38,67,22,2
Monday 11/22/2021 - Double Play,7,22,27,39,50,4,
Saturday 11/20/2021,40,43,48,59,69,19,3
Saturday 11/20/2021 - Double Play,3,24,37,44,46,19,
Wednesday 11/17/2021,3,16,48,52,60,1,3
Wednesday 11/17/2021 - Double Play,32,44,46,55,68,22,
Monday 11/15/2021,5,31,34,51,53,23,2
Monday 11/15/2021 - Double Play,1,6,10,52,64,18,
Saturday 11/13/2021,8,15,26,35,45,9,3
Saturday 11/13/2021 - Double Play,13,16,28,37,60,7,
Wednesday 11/10/2021,19,25,43,46,48,14,2
Wednesday 11/10/2021 - Double Play,10,31,49,58,67,4,
Monday 11/8/2021,21,46,47,57,62,8,3
Monday 11/8/2021 - Double Play,5,6,15,22,51,19,
Saturday 11/6/2021,8,30,48,57,64,9,2
Saturday 11/6/2021 - Double Play,5,23,27,52,55,9,
Wednesday 11/3/2021,1,2,24,50,57,26,2
Wednesday 11/3/2021 - Double Play,10,22,24,37,47,2,
Monday 11/1/2021,9,25,34,44,45,8,3
Monday 11/1/2021 - Double Play,15,37,43,44,50,2,
Saturday 10/30/2021,5,23,28,43,56,19,2
Saturday 10/30/2021 - Double Play,26,29,35,39,46,11,
Wednesday 10/27/2021,3,6,26,35,51,17,4
Wednesday 10/27/2021 - Double Play,9,17,21,26,35,6,
Monday 10/25/2021,10,27,29,44,58,24,2
Monday 10/25/2021 - Double Play,1,26,29,46,67,13,
Saturday 10/23/2021,10,30,51,57,63,20,2
Saturday 10/23/2021 - Double Play,3,8,10,11,33,7,
Wednesday 10/20/2021,7,29,36,41,43,5,2
Wednesday 10/20/2021 - Double Play,1,4,31,37,64,24,
Monday 10/18/2021,30,32,48,53,63,12,2
Monday 10/18/2021 - Double Play,2,19,21,62,66,7,
Saturday 10/16/2021,30,31,41,42,48,3,3
Saturday 10/16/2021 - Double Play,26,33,42,44,45,20,
Wednesday 10/13/2021,23,29,47,59,60,15,2
Wednesday 10/13/2021 - Double Play,10,34,37,58,60,7,
Monday 10/11/2021,11,20,33,39,65,24,3
Monday 10/11/2021 - Double Play,9,39,44,49,60,12,
Saturday 10/9/2021,12,17,30,45,62,5,2
Saturday 10/9/2021 - Double Play,1,26,37,38,62,17,
Wednesday 10/6/2021,1,17,52,58,64,1,10
Wednesday 10/6/2021 - Double Play,1,5,17,22,30,4,
Monday 10/4/2021,12,22,54,66,69,15,2
Monday 10/4/2021 - Double Play,4,13,18,61,63,17,
Saturday 10/2/2021,28,38,42,47,52,1,2
Saturday 10/2/2021 - Double Play,6,12,39,58,61,22,
Wednesday 9/29/2021,2,7,11,17,32,11,3
Wednesday 9/29/2021 - Double Play,3,19,29,50,58,3,
Monday 9/27/2021,21,22,39,44,60,12,2
Monday 9/27/2021 - Double Play,2,27,51,62,66,1,
Saturday 9/25/2021,22,23,37,62,63,19,3
Saturday 9/25/2021 - Double Play,14,18,27,31,56,2,
Wednesday 9/22/2021,20,40,47,55,63,5,3
Wednesday 9/22/2021 - Double Play,6,7,36,41,59,7,
Monday 9/20/2021,37,51,54,58,60,19,2
Monday 9/20/2021 - Double Play,6,12,49,58,67,7,
Saturday 9/18/2021,5,36,39,45,57,11,2
Saturday 9/18/2021 - Double Play,1,11,17,20,42,20,
Wednesday 9/15/2021,1,4,18,46,62,25,3
Wednesday 9/15/2021 - Double Play,5,34,36,38,57,7,
Monday 9/13/2021,37,40,50,61,63,21,3
Monday 9/13/2021 - Double Play,15,29,32,35,56,9,
Saturday 9/11/2021,20,31,38,40,49,21,2
Saturday 9/11/2021 - Double Play,7,39,54,64,67,11,
Wednesday 9/8/2021,9,22,41,47,61,21,2
Wednesday 9/8/2021 - Double Play,5,33,40,50,59,6,
Monday 9/6/2021,11,20,22,33,54,24,2
Monday 9/6/2021 - Double Play,5,10,31,38,43,20,
Saturday 9/4/2021,32,35,40,52,54,1,5
Saturday 9/4/2021 - Double Play,4,40,42,49,54,24,
Wednesday 9/1/2021,10,20,29,48,51,17,2
Wednesday 9/1/2021 - Double Play,23,35,45,59,63,24,
Monday 8/30/2021,3,15,45,51,61,8,2
Monday 8/30/2021 - Double Play,18,27,42,43,47,13,
Saturday 8/28/2021,12,22,26,46,59,26,2
Saturday 8/28/2021 - Double Play,6,13,41,47,48,10,
Wednesday 8/25/2021,27,39,54,56,59,24,3
Wednesday 8/25/2021 - Double Play,19,31,41,51,53,25,
Monday 8/23/2021,17,36,47,60,61,15,3
Monday 8/23/2021 - Double Play,3,28,34,39,63,25,
